variant,spec,family,outcome,coef,se,t,p,ivf,nobs,n_clusters,first_stage_F_lookup,tF_cv,ci95_low_tF,ci95_high_tF,reject_tF_5pct
adversarial,subsample_le200k,candidate_pool,delta_incumbent_candidate_share_2024_2020,-0.00710871456931139,0.0103526202207857,-0.68665849009304,0.492372390676478,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.02981373092388,0.0155963017852573,FALSE
adversarial,subsample_le200k,candidate_pool,delta_effective_party_count_candidates_2024_2020,-0.338071370354532,0.302748829686369,-1.11667275709953,0.264259689055734,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-1.00204985915819,0.325907118449129,FALSE
adversarial,subsample_le200k,candidate_pool,delta_candidate_hhi_party_2024_2020,0.0113986933183162,0.0116886205461055,0.975195770395173,0.329573430822932,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.014236393741946,0.0370337803785784,FALSE
adversarial,subsample_le200k,elected_comp,delta_elected_female_share_2024_2020,0.0158957792462874,0.0224436739535391,0.708252101647592,0.478865887004417,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0333269270158996,0.0651184855084744,FALSE
adversarial,subsample_le200k,elected_comp,delta_elected_nonwhite_share_2024_2020,-0.0267696892665836,0.0259182411978607,-1.03285130585146,0.301790251368521,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0836126988360412,0.0300733203028741,FALSE
adversarial,subsample_le200k,elected_comp,delta_elected_higher_ed_share_2024_2020,0.00600813687692718,0.0260053768020937,0.231034409639604,0.81731016599156,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0510259755512254,0.0630422493050798,FALSE
adversarial,subsample_le200k,elected_comp,delta_elected_mean_age_2024_2020,-0.0137416956048337,0.582675588369172,-0.0235837846635979,0.981186806292894,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-1.29164607934411,1.26416268813444,FALSE
adversarial,subsample_le200k,elected_comp,delta_incumbent_reelected_share_2024_2020,0.00357116246518976,0.0250064247381881,0.14280979798508,0.88645384931074,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.0512720820991087,0.0584144070294882,FALSE
adversarial,subsample_le200k,party_comp,delta_party_count_2024_2020,-0.291310853627053,0.351132959414271,-0.829631186183695,0.406839914540329,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-1.06140377851984,0.478782071265737,FALSE
adversarial,subsample_le200k,party_comp,delta_coalition_count_2024_2020,0.0701714566143621,0.0668976094435455,1.04893817877871,0.29432507321023,237.582684647095,5509,2140,19.2277946054593,2.19316616183622,-0.076546116724957,0.216889029953681,FALSE
