election_year,assunto,nat_n,national_share,muni_mean_share,n_munis_with,st_mean,st_min,st_max,st_p25,st_p75,pct_munis_with
2020,Perda de Bens e Valores,5,3.5485555959302325e-06,2.0352353071950855e-06,3,0.00014618052223413166,0.00010007004903432403,0.00020100502512562814,0.0001187682707883834,0.00016923575883403546,0.1
2020,Quebra do Sigilo Fiscal,5,3.5485555959302325e-06,3.5610137746063046e-06,2,4.1271029819203284e-05,1.292841536412882e-05,6.961364427427775e-05,2.7099722591666054e-05,5.544233704674052e-05,0.0
2020,Furto,5,3.5485555959302325e-06,3.0327181221130616e-06,5,3.802526737087091e-05,4.433705025604646e-06,7.509762691498949e-05,1.416098455782824e-05,6.0149151584487424e-05,0.1
2020,"Violência Política de Gênero (art, 326-B do Código Eleitoral)",5,3.5485555959302325e-06,1.1789445780533724e-06,4,3.422484815712854e-05,1.292841536412882e-05,6.595218466611707e-05,1.8361179902634276e-05,4.4873064553628395e-05,0.1
2020,Inelegibilidade - Inalistável,5,3.5485555959302325e-06,1.7271869975735638e-06,3,1.593583393791847e-05,5.032206119162641e-06,2.9474180617778827e-05,9.16666059798829e-06,2.138764784729638e-05,0.1
2020,Apropriação indébita,5,3.5485555959302325e-06,5.652026578007892e-06,2,6.0965201449478724e-05,4.692852785208128e-05,7.500187504687617e-05,5.394686465078e-05,6.798353824817745e-05,0.0
2020,Indisponibilidade / Seqüestro de Bens,5,3.5485555959302325e-06,1.7936836535383891e-06,3,2.2127786443149007e-05,1.5096618357487922e-05,2.897626843615079e-05,1.8703545446648115e-05,2.564337048597955e-05,0.1
2020,Crimes relacionados à Comissão Parlamentar de Inquérito,4,2.838844476744186e-06,8.385541251271932e-07,3,3.2092011779574634e-05,2.379394444113973e-05,3.7548813457494744e-05,2.936361094061458e-05,3.624104544879209e-05,0.1
2020,Falso testemunho ou falsa perícia,4,2.838844476744186e-06,3.1107031622980666e-06,4,2.9137575958870748e-05,9.599324207575787e-06,5.516632647432007e-05,1.913268545375018e-05,3.5897217081914136e-05,0.1
2020,Cargo - Senador,4,2.838844476744186e-06,4.824627151459697e-07,3,5.171366145651528e-05,5.171366145651528e-05,5.171366145651528e-05,5.171366145651528e-05,5.171366145651528e-05,0.1
2020,Provocação de tumulto ou conduta inconveniente,4,2.838844476744186e-06,2.0017924039428037e-06,4,1.6295258692648116e-05,8.867410051209293e-06,2.9474180617778827e-05,9.705797730082762e-06,2.000918301336753e-05,0.1
2020,Comunicação falsa de crime ou de contravenção,4,2.838844476744186e-06,5.527038837958995e-06,4,1.815023317866371e-05,9.599324207575787e-06,2.897626843615079e-05,1.3855984533800862e-05,2.130691868032698e-05,0.1
2020,Suspensão condicional da pena,4,2.838844476744186e-06,3.1891742024137626e-06,4,2.741107956788683e-05,5.032206119162641e-06,5.516632647432007e-05,1.018078069521806e-05,4.1953191711701076e-05,0.1
2020,"Recusa ou omissão de dados cadastrais, registros, documentos e informações",4,2.838844476744186e-06,2.250047850403772e-06,3,9.820742688900021e-05,5.894836123555765e-05,0.00013746649254244277,7.857789406227894e-05,0.00011783695971572149,0.1
2020,Emprego irregular de verbas ou rendas públicas,4,2.838844476744186e-06,2.326143027622633e-06,3,1.5406097356204585e-05,1.0064412238325282e-05,1.8750468761719042e-05,1.373391165344736e-05,1.807693991514424e-05,0.1
2020,Associação Criminosa,4,2.838844476744186e-06,3.8595531849473136e-07,3,4.2094202235655604e-05,1.292841536412882e-05,6.873324627122139e-05,2.8774680217872716e-05,5.6677095671419e-05,0.1
2020,"Promoção, constituição, financiamento ou integração de Organização Criminosa",3,2.1291333575581395e-06,8.163513773042164e-07,2,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,0.0
2020,Violência contra a Mulher Candidata ou no Exercício do Mandato Eletivo,3,2.1291333575581395e-06,6.730925833667468e-07,3,1.3730542130415047e-05,1.0544185408956232e-05,1.8750468761719042e-05,1.1220578814763047e-05,1.5323720491144453e-05,0.1
2020,Registro de Candidatura - Substituição de Candidato - Por Falecimento,3,2.1291333575581395e-06,1.574579298353276e-06,3,3.60845667054428e-05,1.0544185408956232e-05,6.873324627122139e-05,1.9760226922553512e-05,4.885475735368609e-05,0.1
2020,Prisão Temporária,3,2.1291333575581395e-06,1.521457624501088e-06,2,1.1496413801227052e-05,1.0064412238325282e-05,1.292841536412882e-05,1.0780413019776166e-05,1.2212414582677935e-05,0.0
2020,Requisição de Servidor,3,2.1291333575581395e-06,2.9216371746691425e-06,3,2.0990746497725977e-05,9.599324207575787e-06,3.493327744008943e-05,1.4019481026544249e-05,2.668645764280107e-05,0.1
2020,Registro de Candidatura - Substituição de Candidato - Por Expulsão Partidária,3,2.1291333575581395e-06,1.7677986707997603e-06,3,2.842463747236638e-05,1.292841536412882e-05,5.0035024517162014e-05,1.7619443949968566e-05,3.617274852648516e-05,0.1
2020,Órgão de Direção Partidária,3,2.1291333575581395e-06,3.017906749699341e-06,3,9.705797730082762e-06,8.867410051209293e-06,1.0544185408956232e-05,9.286603890646028e-06,1.0124991569519496e-05,0.1
2020,Exceção - De Ilegitimidade de Parte,3,2.1291333575581395e-06,9.490377086508735e-07,2,5.149368811819618e-05,2.9474180617778827e-05,7.351319561861354e-05,4.048393436798751e-05,6.250344186840486e-05,0.0
2020,Busca e Apreensão,3,2.1291333575581395e-06,6.796792351136208e-07,2,4.239648656897892e-05,3.786444528587656e-05,4.692852785208128e-05,4.013046592742774e-05,4.46625072105301e-05,0.0
2020,Incitação ao Crime,3,2.1291333575581395e-06,1.575884239635955e-06,3,1.998025719887682e-05,4.433705025604646e-06,3.675659780930677e-05,1.1592086893661844e-05,2.7753533285512907e-05,0.1
2020,Exceção - De Incompetência,3,2.1291333575581395e-06,2.4933608265194316e-06,3,1.2880266325917381e-05,4.433705025604646e-06,1.893222264293828e-05,9.854288167406933e-06,1.710354697607375e-05,0.1
2020,Intervenção Indevida de Autoridade Junto à Mesa Receptora,3,2.1291333575581395e-06,2.292414095774869e-06,3,2.0010296730425373e-05,1.893222264293828e-05,2.1088370817912464e-05,1.9471259686681827e-05,2.0549333774168917e-05,0.1
2020,Invasão de Dispositivo Informático,3,2.1291333575581395e-06,2.084912223123308e-06,3,0.0030929892785313572,4.433705025604646e-06,0.009259259259259259,9.854288167406933e-06,0.004637267065284234,0.1
2020,Jogo do bicho,3,2.1291333575581395e-06,1.160983523321837e-07,1,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,0.0
2020,Comunicação de Prisão - BNMP,3,2.1291333575581395e-06,2.6743790664888844e-06,2,9.23336712939254e-06,8.867410051209293e-06,9.599324207575787e-06,9.050388590300916e-06,9.416345668484163e-06,0.0
2020,Difusão de doença ou praga,3,2.1291333575581395e-06,4.970633554951787e-06,3,4.9421411658164825e-05,2.897626843615079e-05,6.986655488017886e-05,3.919884004715781e-05,5.964398326917184e-05,0.1
2020,Falsificação de documento público,3,2.1291333575581395e-06,1.6357736860588386e-06,3,2.5540772760949786e-05,9.599324207575787e-06,3.7548813457494744e-05,1.9536752412677306e-05,3.351149703763678e-05,0.1
2020,Abandono de função,3,2.1291333575581395e-06,2.374186916792263e-06,2,5.501545217753946e-05,3.493327744008943e-05,7.509762691498949e-05,4.4974364808814444e-05,6.505653954626447e-05,0.0
2020,Omissão da Entrega do Boletim de Urna,3,2.1291333575581395e-06,3.3947460113908e-06,3,4.7601765818823884e-05,5.032206119162641e-06,9.017132551848512e-05,2.631698596899326e-05,6.88865456686545e-05,0.1
2020,Desobediência a decisão judicial sobre perda ou suspensão de direitos,3,2.1291333575581395e-06,2.682231567939499e-06,3,6.157370892577183e-05,3.2976092333058534e-05,9.017132551848512e-05,4.7274900629415184e-05,7.587251722212847e-05,0.1
2020,Impugnação - Sistema Eletrônico de Votação,3,2.1291333575581395e-06,1.291837781346121e-06,1,0.0001352569882777277,0.0001352569882777277,0.0001352569882777277,0.0001352569882777277,0.0001352569882777277,0.0
2020,Alvará de Soltura,3,2.1291333575581395e-06,1.5667934610896689e-06,3,3.7524875490466414e-05,3.7500937523438084e-05,3.7548813457494744e-05,3.751290650695225e-05,3.753684447398058e-05,0.1
2020,Corrupção Praticada por Prefeitos e Vereadores,3,2.1291333575581395e-06,2.193735285680176e-06,3,1.0535182851794578e-05,4.433705025604646e-06,1.527487130920922e-05,8.165338623087255e-06,1.3585921764889543e-05,0.1
2020,Fato Atípico,3,2.1291333575581395e-06,2.16752785577077e-06,2,4.430851182094895e-05,1.8750468761719042e-05,6.986655488017886e-05,3.1529490291334e-05,5.70875333505639e-05,0.0
2020,Crimes de Trânsito,3,2.1291333575581395e-06,1.2435192515878022e-06,2,4.582461392762766e-05,4.582461392762766e-05,4.582461392762766e-05,4.582461392762766e-05,4.582461392762766e-05,0.0
2020,Peculato mediante erro de outrem,3,2.1291333575581395e-06,2.7209508417677e-07,3,1.5145267876931142e-05,4.433705025604646e-06,2.585683072825764e-05,9.789486451267895e-06,2.050104930259439e-05,0.1
2020,Pena Restritiva de Direitos,3,2.1291333575581395e-06,2.163725648337802e-06,2,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,6.693141760742493e-05,0.0
2020,Crimes de Abuso de Autoridade,3,2.1291333575581395e-06,2.631706075171398e-06,3,2.898824885286847e-05,1.527487130920922e-05,3.675659780930677e-05,2.5104074374649325e-05,3.58449376246981e-05,0.1
2020,"Crimes de ""Lavagem"" ou Ocultação de Bens, Direitos ou Valores",3,2.1291333575581395e-06,1.633188080491789e-07,3,2.559306735952499e-05,4.433705025604646e-06,5.0035024517162014e-05,1.3372088780706477e-05,3.617274852648516e-05,0.1
2020,Perturbação ou Impedimento de Alistamento,3,2.1291333575581395e-06,1.033972993258896e-06,3,2.1762714886606946e-05,9.599324207575787e-06,3.675659780930677e-05,1.4265773425257032e-05,2.7844410226122524e-05,0.1
2020,Preconceituosa,3,2.1291333575581395e-06,8.773506158154351e-07,3,1.2071140680209256e-05,8.867410051209293e-06,1.527487130920922e-05,1.0469275365709275e-05,1.3673005994709238e-05,0.1
2020,Fraude processual,3,2.1291333575581395e-06,1.4430223319799163e-06,3,2.849647004520328e-05,1.0064412238325282e-05,4.692852785208128e-05,1.9280441141764284e-05,3.7712498948642284e-05,0.1
2020,Falsidade ideológica praticada por Funcionário Público,3,2.1291333575581395e-06,4.413631407617437e-06,3,2.43138586307702e-05,5.032206119162641e-06,3.493327744008943e-05,1.9004149226110587e-05,3.395468488657398e-05,0.1
2020,Quebra do Sigilo Bancário,2,1.419422238372093e-06,3.8798658334503544e-07,2,8.98031074164573e-06,5.032206119162641e-06,1.292841536412882e-05,7.006258430404186e-06,1.0954363052887274e-05,0.0
