SG_UF,SG_UE,NM_UE,bartik_iv_no_rrc,dominant_topic_share_no_rrc,share_hhi_no_rrc,avg_shock_equal_weight,avg_abs_shock_equal_weight,n_topics_no_rrc,baseline_lawsuits_no_rrc_2020
MT,91103,ITANHANGÁ,-0.1025534567061985,0.3944954128440367,0.18929383048564938,-0.043210104600198654,0.3826568128747578,20.0,109.0
MT,91170,NOBRES,-0.0514528966687366,0.9230769230769231,0.8553583168967787,0.12178345315303456,0.17418696560671634,3.0,39.0
MT,91197,NORTELÂNDIA,-0.1844661779552542,0.5491803278688525,0.3919645256651437,-0.07597236010634603,0.290053964124693,13.0,122.0
MT,91219,NOSSA SENHORA DO LIVRAMENTO,-0.1771506407082439,0.5277777777777778,0.334104938271605,-0.06433627380490146,0.26378631251509016,10.0,72.0
MT,91294,POCONÉ,-0.0318038997081045,0.5185185185185185,0.3251028806584362,-0.08634677859456831,0.22454297955732574,7.0,27.0
MT,91332,PONTE BRANCA,-0.1806042360764199,0.4142857142857143,0.2902040816326531,-0.08417084407122663,0.2876328630650174,10.0,70.0
MT,91359,PORTO DOS GAÚCHOS,-0.0870295194410181,0.6379310344827587,0.4221165279429252,-0.09674123642732958,0.24984499045871753,14.0,58.0
MT,91391,POXORÉU,-0.1219874037756231,0.5714285714285714,0.3673469387755102,-0.15836659705460235,0.15901929617314045,6.0,14.0
MT,91510,RONDONÓPOLIS,-0.1859222190694829,0.30597014925373134,0.15114724883047448,-0.15108018710124602,0.26482663981137033,20.0,134.0
MT,91537,ROSÁRIO OESTE,-0.0514528966687366,0.9230769230769231,0.8553583168967787,0.12178345315303456,0.17418696560671634,3.0,39.0
MT,91553,SANTO ANTÔNIO DO LEVERGER,-0.0451566275489685,0.49019607843137253,0.2779700115340254,-0.03313817513610735,0.2873998599730219,11.0,51.0
MT,91618,TESOURO,-0.0974305457085522,0.43859649122807015,0.22437673130193903,-0.12880739288988396,0.27637152117703456,14.0,57.0
MT,91634,TORIXORÉU,-0.0781153672934907,0.4344262295081967,0.2148615963450685,-0.04148878677421397,0.26951290792250526,18.0,122.0
MT,91677,VÁRZEA GRANDE,-0.1690727782199572,0.24358974358974358,0.09796186719263641,-0.11260359683693022,0.304763204442263,23.0,156.0
MT,91774,MIRASSOL D'OESTE,-0.144502004907487,0.5846153846153846,0.36568047337278115,-0.14334127279097952,0.23556479728471405,12.0,65.0
MT,91812,PEDRA PRETA,-0.0758542442869172,0.6,0.40897959183673466,0.05832084723135748,0.30995712259255115,7.0,35.0
MT,91839,SÃO FÉLIX DO ARAGUAIA,-0.226594747697291,0.6,0.4026666666666667,-0.3832707851181883,0.4131323934299566,7.0,75.0
MT,91855,TANGARÁ DA SERRA,-0.2380388223681276,0.7407407407407407,0.5643459029702415,-0.11998579199962402,0.31497404348961555,15.0,189.0
MT,91898,JUSCIMEIRA,-0.1538348864452502,0.5238095238095238,0.3061224489795918,-0.15355151515968693,0.3686292622624885,15.0,63.0
MT,91910,ÁGUA BOA,-0.209152963512064,0.2727272727272727,0.17661463116008572,-0.22963077673720045,0.2561249267877129,13.0,99.0
MT,91936,CANARANA,-0.2202737216279645,0.7377049180327869,0.5730986294006988,-0.12846809759499667,0.1615883226195732,8.0,122.0
MT,91952,NOVA XAVANTINA,-0.196678838374313,0.41843971631205673,0.2510437100749459,-0.08633536839437496,0.29522482561729624,18.0,141.0
MT,91979,SANTA TEREZINHA,-0.1332852309623733,0.7741935483870968,0.610822060353798,-0.2961517380763065,0.33099028110670287,6.0,31.0
MT,91995,SÃO JOSÉ DO RIO CLARO,-0.1941183419444133,0.46808510638297873,0.2738795835219557,-0.19959154733495846,0.2963288880088887,10.0,47.0
MT,98191,JUARA,-0.0870295194410181,0.6379310344827587,0.4221165279429252,-0.09674123642732958,0.24984499045871753,14.0,58.0
MT,98310,JUÍNA,-0.1361669554238357,0.54,0.31120000000000003,-0.18520353647078008,0.32586578937527055,15.0,50.0
MT,98337,DENISE,-0.240445678699727,0.8601190476190477,0.7514526643990931,-0.06917842434591037,0.19106092595275825,9.0,336.0
MT,98612,ALTO TAQUARI,-0.1806042360764199,0.4142857142857143,0.2902040816326531,-0.08417084407122663,0.2876328630650174,10.0,70.0
MT,98639,ARAGUAIANA,-0.0781153672934907,0.4344262295081967,0.2148615963450685,-0.04148878677421397,0.26951290792250526,18.0,122.0
MT,98655,CAMPINÁPOLIS,-0.196678838374313,0.41843971631205673,0.2510437100749459,-0.08633536839437496,0.29522482561729624,18.0,141.0
MT,98671,COCALINHO,-0.209152963512064,0.2727272727272727,0.17661463116008572,-0.22963077673720045,0.2561249267877129,13.0,99.0
MT,98698,ITAÚBA,-0.1198712812448895,0.6,0.38,-0.17828951144721855,0.30391096252913413,13.0,60.0
MT,98710,MARCELÂNDIA,-0.2111719869911185,0.7171717171717171,0.5565758596061627,-0.1040171939321863,0.2316935997937874,7.0,99.0
