SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,code_micro,name_micro,log_pop_2010,urban_share_2010,log_income_pc_2010,share_first_time_candidates_2020,mean_prior_candidacies_2020,share_prior_winners_2020,share_career_politicians_2020,turnout_rate_2020,abstention_rate_2020,blank_share_2020,null_share_2020,incumbent_ran_2024,incumbent_won_2024,party_switch_2024
MA,07110,AMARANTE DO MARANHÃO,4,0.4982156320683589,0.0906257853732093,0.4221491177513309,2.368831197200452,PDT,100000005882,JOICE OLIVEIRA MARINHO,21009,Imperatriz,10.5373888478854,0.0,0.0382530442409959,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.0,0.8027957486136784,0.1972042513863216,0.0053724756559696,0.04580994867367,1.0,1.0,1.0
MA,07129,BACABEIRA,2,0.5216251638269986,0.0432503276539973,0.500935295421089,1.996265803469477,PMN,100000013020,CARLA FERNANDA DO REGO GONÇALO,21003,Rosário,9.60958618027043,0.0,0.0,0.75,0.5,0.25,0.0,0.885551948051948,0.1144480519480519,0.006749437546871,0.0279976668610949,0.0,0.0,1.0
MA,07137,ANAJATUBA,4,0.3961568322981366,0.1050724637681159,0.31954358716549,3.129463522865521,PC do B,100000014246,SYDNEI COSTA PEREIRA,21005,Baixada Maranhense,10.1373336269835,0.177932562925439,0.0067053459928387,0.9,0.1,0.1,0.0,0.8758604995164135,0.1241395004835865,0.0079896070152646,0.0387138681390061,1.0,0.0,0.0
MA,07145,BACURITUBA,1,1.0,1.0,1.0,1.0,PDT,100000006118,JOSE SISTO RIBEIRO SILVA,21001,Litoral Ocidental Maranhense,8.57414047185799,0.0,0.0,0.875,0.25,0.125,0.0,0.8426159518726956,0.1573840481273044,0.0052970981114693,0.018885306310456,1.0,1.0,1.0
MA,07153,ANAPURUS,2,0.5843573239711333,0.1687146479422664,0.5142323162151414,1.94464635626211,PSDB,100000002294,VANDERLY DE SOUSA DO NASCIMENTO MONTELES,21014,Chapadinha,9.54151287550249,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.871536523929471,0.1284634760705289,0.0104046242774566,0.0384805945499587,0.0,0.0,1.0
MA,07161,BELÁGUA,4,0.4741532976827095,0.1909288968112498,0.3478845715631101,2.874516669442436,PTN,100000002002,HERLON COSTA LIMA,21014,Chapadinha,8.77616709973127,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.9186298822070676,0.0813701177929324,0.0059051796861818,0.0398177830268263,0.0,0.0,1.0
MA,07170,ARAIOSES,4,0.346240082787168,0.0352276647119696,0.2794679001906309,3.5782284810451546,PSDC,100000005172,CRISTINO GONÇALVES DE ARAUJO,21013,Baixo Parnaíba Maranhense,10.6555166608323,0.0,0.0237579591708793,0.6818181818181818,0.5,0.1818181818181818,0.0,0.7529944580179966,0.2470055419820034,0.0135723330167774,0.0327239632795188,1.0,0.0,1.0
MA,07188,BELA VISTA DO MARANHÃO,7,0.258892999430848,0.0441092771770062,0.2085990232905276,4.793886300259631,PSDB,100000631531,JOSE AUGUSTO SOUSA VELOSO FILHO,21005,Baixada Maranhense,9.39515880896873,0.0,0.0344805399583399,0.8333333333333334,0.1666666666666666,0.0,0.0,0.7772947836635665,0.2227052163364334,0.0223696189361425,0.0329041487839771,0.0,0.0,1.0
MA,07196,ARARI,2,0.5489048557190868,0.0978097114381735,0.5047833698258093,1.9810478311618709,PTB,100000015252,DJALMA DE MELO MACHADO,21005,Baixada Maranhense,10.2561845951056,0.057244263274414,0.0,0.5,0.6666666666666666,0.1666666666666666,0.0,0.7588247727753118,0.2411752272246882,0.0140947075208913,0.0366016713091922,1.0,0.0,1.0
MA,07200,BERNARDO DO MEARIM,2,0.5414364640883977,0.0828729281767955,0.5034339611122981,1.986357848784333,PDT,100000002253,EUDINA COSTA PINHEIRO,21010,Médio Mearim,8.68895923427068,0.0,0.0576075492618261,1.0,0.0,0.0,0.0,0.8142911730989683,0.1857088269010317,0.009854528390427,0.029094321914594,1.0,0.0,1.0
