office_group,election_year,state,municipality_id_tse,municipality_name,total_candidates,elected_candidates,party_count,coalition_count,female_share,nonwhite_share,higher_education_share,married_share,mean_age,sd_age,elected_female_share,elected_nonwhite_share,elected_higher_education_share,elected_mean_age,new_candidate_count,incumbent_candidate_count,incumbent_reelected_count,new_candidate_share,incumbent_candidate_share,incumbent_reelected_share,candidate_hhi_party,effective_party_count_candidates
executive,2020,AL,28410,PIRANHAS,3,1,3,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,46.021446497832535,14.2646454147369,0.0,1.0,1.0,32.20807665982204,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28436,POÇO DAS TRINCHEIRAS,3,1,3,2,0.3333333333333333,0.0,0.6666666666666666,0.0,55.35843029888204,23.187294954429166,0.0,0.0,1.0,67.81656399726215,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28452,PORTO CALVO,6,1,4,3,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3333333333333333,43.3803331051791,16.794203527070533,1.0,0.0,1.0,48.9719370294319,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28479,PORTO DE PEDRAS,2,1,2,2,0.5,0.5,0.5,0.5,43.275838466803556,8.8298809828661,0.0,0.0,1.0,49.51950718685831,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28495,PORTO REAL DO COLÉGIO,2,1,2,2,0.5,0.5,0.5,1.0,51.72073921971253,3.8757776206309913,0.0,1.0,0.0,54.46132785763176,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28517,QUEBRANGULO,2,1,2,2,0.5,0.5,0.5,1.0,58.403832991101986,3.0665493262135315,0.0,1.0,1.0,60.57221081451061,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28533,RIO LARGO,3,1,3,3,0.3333333333333333,0.0,1.0,1.0,47.7472051106548,10.659049943909508,0.0,0.0,1.0,58.286105407255306,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28550,ROTEIRO,4,1,4,4,0.25,1.0,0.25,0.5,39.01916495550992,8.412696414484476,0.0,1.0,0.0,31.939767282683093,0,0,0,0.0,0.0,0.0,0.25,4.0
executive,2020,AL,28576,SANTA LUZIA DO NORTE,2,1,2,2,0.5,0.5,1.0,1.0,43.582477754962355,2.9833033533428313,0.0,0.0,1.0,45.69199178644764,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28592,SANTANA DO IPANEMA,6,1,6,3,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,51.77321469313256,7.1529009008038305,1.0,0.0,1.0,46.16016427104723,0,0,0,0.0,0.0,0.0,0.16666666666666669,5.999999999999999
executive,2020,AL,28614,SANTANA DO MUNDAÚ,2,1,2,2,0.0,0.5,0.5,0.5,48.5927446954141,26.729701102923098,0.0,1.0,0.0,29.691991786447637,0,0,0,0.0,0.0,0.0,0.5,2.0
executive,2020,AL,28630,SÃO BRÁS,3,1,3,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,44.61327857631759,7.63664033607013,0.0,0.0,1.0,37.89185489390828,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28657,SÃO JOSÉ DA LAJE,3,1,3,3,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,45.059548254620125,13.317915153700278,1.0,1.0,1.0,33.20739219712526,0,0,0,0.0,0.0,0.0,0.3333333333333333,3.0
executive,2020,AL,28673,SÃO JOSÉ DA TAPERA,5,1,5,3,0.2,0.6,0.8,0.8,44.70800821355236,11.320808342801438,0.0,1.0,1.0,50.80355920602327,0,0,0,0.0,0.0,0.0,0.20000000000000004,4.999999999999999
