municipality_id_tse,state,municipality_name,n_polls_2020,polled_2020,n_firms_2020,total_sample_2020,mean_sample_2020,total_cost_2020,mean_cost_2020,n_own_polls_2020,n_polls_last30_2020,last_poll_days_before_election_2020,n_polls_2024,polled_2024,n_firms_2024,total_sample_2024,mean_sample_2024,total_cost_2024,mean_cost_2024,n_own_polls_2024,n_polls_last30_2024,last_poll_days_before_election_2024,delta_n_polls_2024_2020,delta_polled_2024_2020,delta_n_firms_2024_2020,delta_total_sample_2024_2020,delta_mean_sample_2024_2020,delta_total_cost_2024_2020,delta_mean_cost_2024_2020,delta_n_own_polls_2024_2020,delta_n_polls_last30_2024_2020,delta_last_poll_days_before_election_2024_2020,polled_both,polled_either
01082,AC,RODRIGUES ALVES,1.0,1.0,1.0,250.0,250.0,3000.0,3000.0,1.0,1.0,15.0,2.0,1.0,1.0,721.0,360.5,12000.0,6000.0,2.0,1.0,54.0,1.0,0.0,0.0,471.0,110.5,9000.0,3000.0,1.0,0.0,39.0,1,1
01090,AC,MÂNCIO LIMA,0.0,0.0,0.0,0.0,,,,0.0,0.0,,6.0,1.0,2.0,1870.0,311.6666666666667,45000.0,7500.0,3.0,4.0,91.0,6.0,1.0,2.0,1870.0,,,,3.0,4.0,,0,1
01112,AC,EPITACIOLÂNDIA,3.0,1.0,1.0,832.0,277.3333333333333,6000.0,2000.0,3.0,1.0,156.0,2.0,1.0,1.0,686.0,343.0,15000.0,7500.0,1.0,1.0,43.0,-1.0,0.0,0.0,-146.0,65.66666666666669,9000.0,5500.0,-2.0,0.0,-113.0,1,1
01139,AC,FEIJÓ,2.0,1.0,2.0,510.0,255.0,6000.0,3000.0,2.0,1.0,156.0,4.0,1.0,2.0,1400.0,350.0,32000.0,8000.0,2.0,4.0,30.0,2.0,0.0,0.0,890.0,95.0,26000.0,5000.0,0.0,3.0,-126.0,1,1
01392,AC,RIO BRANCO,28.0,1.0,7.0,19343.0,690.8214285714286,366636.04,13094.144285714285,20.0,17.0,276.0,31.0,1.0,10.0,25480.0,821.9354838709677,849603.4,27406.56129032258,13.0,14.0,226.0,3.0,0.0,3.0,6137.0,131.11405529953913,482967.36000000004,14312.417004608296,-7.0,-3.0,-50.0,1,1
01457,AC,SENA MADUREIRA,4.0,1.0,3.0,1340.0,335.0,17000.0,4250.0,3.0,3.0,156.0,12.0,1.0,3.0,4226.0,352.1666666666667,102005.0,8500.416666666666,5.0,7.0,119.0,8.0,0.0,0.0,2886.0,17.166666666666686,85005.0,4250.416666666666,2.0,4.0,-37.0,1,1
01473,AC,TARAUACÁ,4.0,1.0,3.0,1320.0,330.0,20000.0,5000.0,3.0,3.0,156.0,2.0,1.0,2.0,700.0,350.0,15500.0,7750.0,1.0,2.0,9.0,-2.0,0.0,-1.0,-620.0,20.0,-4500.0,2750.0,-2.0,-1.0,-147.0,1,1
01490,AC,XAPURI,0.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,1.0,1.0,600.0,300.0,15500.0,7750.0,1.0,2.0,25.0,2.0,1.0,1.0,600.0,,,,1.0,2.0,,0,1
01511,AC,PLÁCIDO DE CASTRO,2.0,1.0,1.0,593.0,296.5,4000.0,2000.0,2.0,1.0,156.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-2.0,-1.0,-1.0,-593.0,,,,-2.0,-1.0,,0,1
01538,AC,SENADOR GUIOMARD,6.0,1.0,4.0,1721.0,344.2,25100.0,4183.333333333333,4.0,4.0,156.0,2.0,1.0,1.0,750.0,375.0,11000.0,5500.0,2.0,1.0,62.0,-4.0,0.0,-3.0,-971.0,30.80000000000001,-14100.0,1316.666666666667,-2.0,-3.0,-94.0,1,1
