office_group,election_year,state,municipality_id_tse,municipality_name,total_valid_votes,n_candidates_with_votes,vote_hhi_candidate,female_vote_share,nonwhite_vote_share,higher_education_vote_share,new_candidate_vote_share,incumbent_candidate_vote_share,effective_n_candidates_vote,winner_vote_share,runnerup_vote_share,margin_top1_top2,top2_vote_share,others_vote_share,winner_majority,winner_is_female,winner_is_new_vs_2020,vote_hhi_party,effective_n_parties_vote
legislative,2020,SP,62030,BARIRI,14686,99,0.022550656811582734,0.23450905624404195,0.2455399700394934,0.44239411684597574,0.0,0.0,44.34460638354304,0.053928911888873755,0.04589404875391529,0.008034863134958464,0.09982296064278905,0.9001770393572109,0,0,0,0.13040016265684518,7.668702090744719
legislative,2020,SP,62049,TORRE DE PEDRA,1826,34,0.04328076020101516,0.25958378970427165,0.06845564074479737,0.0651697699890471,0.0,0.0,23.104954611600025,0.07447973713033954,0.07064622124863089,0.003833515881708646,0.1451259583789704,0.8548740416210296,0,0,0,0.2516222412301801,3.9742114811115425
legislative,2020,SP,62057,BARRA BONITA,20089,218,0.014225845765377373,0.24889242869231917,0.19652546169545523,0.5566230275275026,0.0,0.0,70.29459031770071,0.03847876947583254,0.03663696550350938,0.0018418039723231625,0.07511573497934193,0.9248842650206581,0,0,0,0.11824494593563098,8.457021076777101
legislative,2020,SP,62065,ARCO-ÍRIS,1902,62,0.0323517996994696,0.19032597266035753,0.16351209253417456,0.14195583596214512,0.0,0.0,30.910181482620725,0.06887486855941115,0.060988433228180865,0.007886435331230283,0.129863301787592,0.870136698212408,0,0,0,0.23128899680562048,4.323595215558042
legislative,2020,SP,62073,BARRA DO TURVO,4698,48,0.03568314623887306,0.28033205619412516,0.3818646232439336,0.24223073648361004,0.0,0.0,28.02443465342763,0.06853980417198809,0.06513409961685823,0.0034057045551298543,0.1336739037888463,0.8663260962111536,0,1,0,0.26557400312189583,3.7654288004274648
legislative,2020,SP,62081,BREJO ALEGRE,1957,41,0.04404325079134974,0.1548288196218702,0.3091466530403679,0.3254982115482882,0.0,0.0,22.704954380806143,0.07256004087889627,0.0684721512519162,0.004087889626980062,0.14103219213081247,0.8589678078691876,0,0,0,0.2823356743307634,3.5418832649127956
legislative,2020,SP,62090,BARRETOS,50781,326,0.009886844734610309,0.14597979559283983,0.2535594021385951,0.6318111104546976,0.0,0.0,101.14450331149203,0.02630905259841279,0.026249975384494202,5.9077213918588833e-05,0.05255902798290699,0.947440972017093,0,0,0,0.0883337817920656,11.320697243031692
legislative,2020,SP,62103,CANAS,2958,87,0.022064595113651067,0.15145368492224476,0.3509127789046653,0.1359026369168357,0.0,0.0,45.32147518906039,0.04462474645030426,0.04090601757944557,0.0037187288708586883,0.08553076402974982,0.9144692359702502,0,0,0,0.15915766413814136,6.2830778864161205
legislative,2020,SP,62111,BARRINHA,17320,203,0.01277789630324979,0.21056581986143186,0.6065242494226328,0.27338337182448036,0.0,0.0,78.26014363144198,0.03296766743648961,0.030658198614318708,0.0023094688221708994,0.06362586605080832,0.9363741339491917,0,0,0,0.10087653142317682,9.913108489079608
legislative,2020,SP,62120,PRACINHA,1081,24,0.0614097167370809,0.3080481036077706,0.10823311748381129,0.29417206290471787,0.0,0.0,16.284067947771074,0.11933395004625347,0.07585568917668825,0.043478260869565216,0.19518963922294172,0.8048103607770583,0,1,0,0.353512568021695,2.8287537430313656
legislative,2020,SP,62138,BARUERI,162988,449,0.01051936468214265,0.1800746067195131,0.37199057599332463,0.4430571575821533,0.0,0.0,95.06277519759053,0.02951751049156993,0.02597123714629298,0.003546273345276952,0.055488747637862906,0.9445112523621371,0,0,0,0.09466786589857436,10.563246467089309
legislative,2020,SP,62146,PRATÂNIA,3383,82,0.026603693643400882,0.33816139521135086,0.1658291457286432,0.1939107301211942,0.0,0.0,37.588765432504246,0.07744605379840379,0.05113804315696128,0.02630801064144251,0.12858409695536507,0.8714159030446349,0,0,0,0.14896857398222005,6.712825217212281
legislative,2020,SP,62154,BASTOS,11502,104,0.020414358093536977,0.2181359763519388,0.2701269344461833,0.31655364284472265,0.0,0.0,48.98513073093354,0.0748565466875326,0.04225352112676056,0.032603025560772034,0.11711006781429316,0.8828899321857069,0,0,0,0.17263496484746435,5.792569314585683
legislative,2020,SP,62162,QUADRA,2553,44,0.04661980736164561,0.1707794751273012,0.12064238151194673,0.23384253819036427,0.0,0.0,21.450110083953412,0.0963572267920094,0.07168037602820211,0.024676850763807295,0.16803760282021152,0.8319623971797885,0,0,0,0.25922039139226083,3.8577212025220926
legislative,2020,SP,62170,BATATAIS,24723,167,0.012913563209046117,0.2022812765441087,0.2512235570116895,0.5736763337782631,0.0,0.0,77.43796067838869,0.03648424543946932,0.025927274198115115,0.010556971241354206,0.062411519637584435,0.9375884803624156,0,0,0,0.10782724294113781,9.274094122446343
legislative,2020,SP,62189,SANTA CRUZ DA ESPERANÇA,1724,42,0.03797756256695431,0.25638051044083526,0.32076566125290024,0.09802784222737819,0.0,0.0,26.33133704241823,0.07366589327146171,0.05974477958236659,0.01392111368909512,0.1334106728538283,0.8665893271461718,0,1,0,0.19944848488111064,5.013826004224051
legislative,2020,SP,62197,BAURU,145944,425,0.008734500335808693,0.24222304445540754,0.23297977306364084,0.5590843063092693,0.0,0.0,114.48851812396364,0.03526695170750425,0.030018363207805734,0.005248588499698514,0.06528531491530998,0.93471468508469,0,0,0,0.0587038612048749,17.03465461173034
legislative,2020,SP,62200,SANTA SALETE,1465,20,0.06416615219746301,0.1720136518771331,0.03686006825938567,0.3412969283276451,0.0,0.0,15.584540536615469,0.08259385665529011,0.08122866894197953,0.001365187713310581,0.16382252559726962,0.8361774744027304,0,0,0,0.3973008421763795,2.5169843449666174
legislative,2020,SP,62219,BEBEDOURO,33234,176,0.015576676665808755,0.27276283324306433,0.2683998314978636,0.6541794547752302,0.0,0.0,64.19854642004788,0.05440211831257146,0.04053078172955407,0.01387133658301739,0.09493290004212554,0.9050670999578745,0,1,0,0.113553245142813,8.806441407661453
legislative,2020,SP,62227,VITÓRIA BRASIL,1300,33,0.04475029585798816,0.2123076923076923,0.32846153846153847,0.34307692307692306,0.0,0.0,22.346220976357966,0.0823076923076923,0.06769230769230769,0.014615384615384613,0.15,0.85,0,0,0,0.336484023668639,2.9719093022519694
